SampleName	Name	nr	S nummer	Sample identifier	Experiment	Reactor	Inoculum	Phase	Batch	Order	Type	Omics	IonisationMode	Comparison1	Comparison2	MultipleComparison1	MultipleComparison2
200916s052	MetS_PC4_WSHT3	31	S141A	IPDSH160-165_1509	Final Promise_MetS	PC4	Donor 1	WSHT3	1	37	Sample	Metabolomics	both	1		2	5
200916s017	MetS_DC4_WSHT3	32	S141B	IPDSH160-165_1510	Final Promise_MetS	DC4	Donor 1	WSHT3	1	2	Sample	Metabolomics	both	1		3	6
200916s043	MetS_PC5_WSHT3	33	S141C	IPDSH160-165_1511	Final Promise_MetS	PC5	Donor 2	WSHT3	1	28	Sample	Metabolomics	both	1		2	5
200916s057	MetS_DC5_WSHT3	34	S141D	IPDSH160-165_1512	Final Promise_MetS	DC5	Donor 2	WSHT3	1	42	Sample	Metabolomics	both	1		3	6
200916s024	MetS_PC6_WSHT3	35	S141E	IPDSH160-165_1513	Final Promise_MetS	PC6	Donor 3	WSHT3	1	9	Sample	Metabolomics	both	1		2	5
200916s053	MetS_DC6_WSHT3	36	S141F	IPDSH160-165_1514	Final Promise_MetS	DC6	Donor 3	WSHT3	1	38	Sample	Metabolomics	both	1		3	6
200916s038	iQC3		iQC3	iQC3					1	11	QC	Metabolomics	both				
200916s039	iQC4		iQC4	iQC4					1	12	QC	Metabolomics	both				
200916s050	iQC5		iQC5	iQC5					1	23	QC	Metabolomics	both				
200916s051	iQC6		iQC6	iQC6					1	24	QC	Metabolomics	both				
200916s058	iQC7		iQC7	iQC7					1	35	QC	Metabolomics	both				
200916s059	iQC8		iQC8	iQC8					1	36	QC	Metabolomics	both				
200916s026	QC1		QC1	QC1					1	43	QC	Metabolomics	both				
200916s027	QC2		QC2	QC2					1	44	QC	Metabolomics	both				
